user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,interaction_jsd_summarized
,BPR,consume_all,2,global,655,0.6115160107369081,0.3966014261503506,0.5476335877862596,0.08687022900763358,0.5029996693277906,0.13137134489111438,0.32765626414681576,0.158141580647417,0.3164767890298755,0.16649656071768418
,BPR,consume_all,2,AR,7,0.5621512767866271,0.35362489320769924,0.5571428571428572,0.0,0.5336134453781513,0.02100840336134454,0.25636102037314945,0.0838342175708019,0.24678917630475716,0.09618043859277955
,BPR,consume_all,2,AT,6,0.6719445261213451,0.3995566055941435,0.5333333333333333,0.0,0.36363636363636365,0.006993006993006993,0.40867268455298306,0.19675732506694776,0.3125892316222468,0.15671755272275126
,BPR,consume_all,2,AU,10,0.6251329877279035,0.3857566269031738,0.62,0.03,0.342042755344418,0.0831353919239905,0.3778376731909252,0.18450207524406181,0.42763537261540446,0.25039078809667936
,BPR,consume_all,2,BE,5,0.5674880223773162,0.38322198701780824,0.6,0.0,0.5148514851485149,0.009900990099009901,0.4469831534721413,0.18385943336938498,0.21592102874483787,0.20508269206830426
,BPR,consume_all,2,BG,2,0.5016030433189723,0.44717764577774544,0.5,0.0,0.7547169811320755,0.0,0.31893648312847656,0.18374077755091264,0.10279107704722978,0.07155605590449038
,BPR,consume_all,2,BR,84,0.6152100898770813,0.42808700152527623,0.5583333333333333,0.007142857142857143,0.5258084577114428,0.06716417910447761,0.2848072328782352,0.13136262121747258,0.3381601818935412,0.1459831801817347
,BPR,consume_all,2,BY,6,0.611268512167402,0.4011810453877427,0.5,0.0,0.6164383561643836,0.0,0.3138877321660203,0.15366047678554584,0.23724466729596874,0.12200760720051385
,BPR,consume_all,2,CA,15,0.5630843248724925,0.3594328214218164,0.6133333333333333,0.04,0.5299539170506913,0.07603686635944701,0.35565857735454937,0.20222249694424319,0.31676045229506694,0.19704897283326034
,BPR,consume_all,2,CH,1,0.8620223264294518,0.32868152693085756,0.6,0.0,0.3157894736842105,0.0,0.5143469889428054,0.23396980263771816,0.6291387780159147,0.423529626480726
,BPR,consume_all,2,CL,7,0.6388991418263262,0.22605602683340068,0.4714285714285714,0.0,0.6943396226415094,0.0,0.33359775352742804,0.12606473784347133,0.36801677281028045,0.15359678743754676
,BPR,consume_all,2,CN,3,0.5329547237922361,0.3005122978456682,0.5,0.0,0.5857142857142857,0.0,0.2937021363703996,0.08626080906221474,0.20347595497720875,0.08853257514354314
,BPR,consume_all,2,CO,4,0.5631541882446207,0.3586370511975543,0.575,0.0,0.5287356321839081,0.011494252873563218,0.33238590617846125,0.19293421317246878,0.296701392765457,0.18560802021176226
,BPR,consume_all,2,CR,1,0.819983813675485,0.3122142999639709,0.5,0.0,0.3333333333333333,0.0,0.47321429553810157,0.04491283607350509,0.5579230452841438,0.43689186833942034
,BPR,consume_all,2,CY,1,0.41133302213784645,0.8707908228691708,0.7,0.0,0.46153846153846156,0.0,0.585230677226215,0.6402135095872731,0.4113330221378465,0.5852306772262149
